,Rankings,College Name,Area Type,Region,Ownership,Student-to-Faculty Ratio,Enrolled Full Time Total,Average GPA,Average SATVR,Average SATMT
56,66.0,Colby College,Town: Remote,New England,Private not-for-profit independent,10.0,580.0,4.0,705.0,725.0
57,67.0,George Washington University,City: Large,Mid East,Private not-for-profit independent,13.0,2838.0,3.7,680.0,690.0
58,67.0,University Of Wisconsin-Madison,City: Large,Great Lakes,Public,17.0,6851.0,3.8,665.0,700.0
59,67.0,Macalester College,City: Large,Plains,Private not-for-profit religious,10.0,621.0,3.9,690.0,715.0
60,70.0,Worcester Polytechnic Institute,City: Midsize,New England,Private not-for-profit independent,13.0,1276.0,3.9,,
61,72.0,Northeastern University,City: Large,New England,Private not-for-profit independent,14.0,2746.0,4.0,710.0,740.0
62,73.0,Lafayette College,Suburb: Large,Mid East,Private not-for-profit religious,10.0,733.0,3.5,660.0,682.5
63,73.0,Trinity University,City: Large,Southwest,Private not-for-profit religious,9.0,690.0,3.6,670.0,675.0
64,75.0,Vassar College,Suburb: Large,Mid East,Private not-for-profit independent,8.0,686.0,4.0,710.0,730.0
65,77.0,Davidson College,Suburb: Large,Southeast,Private not-for-profit religious,9.0,515.0,3.9,680.0,690.0
66,78.0,Rensselaer Polytechnic Institute,City: Small,Mid East,Private not-for-profit independent,13.0,1778.0,3.8,680.0,735.0
67,78.0,Grinnell College,Town: Remote,Plains,Private not-for-profit independent,9.0,463.0,4.0,707.5,742.5
68,80.0,Barnard College,City: Large,Mid East,Private not-for-profit independent,9.0,602.0,4.0,705.0,710.0
69,82.0,Drexel University,City: Large,Mid East,Private not-for-profit independent,11.0,3353.0,3.7,625.0,650.0
70,83.0,Denison University,Suburb: Small,Great Lakes,Private not-for-profit independent,9.0,654.0,,635.0,660.0
71,84.0,Occidental College,City: Large,Far West,Private not-for-profit independent,9.0,566.0,3.6,675.0,685.0
72,84.0,University Of Richmond,City: Midsize,Southeast,Private not-for-profit independent,8.0,832.0,3.8,675.0,700.0
73,86.0,Southern Methodist University,Suburb: Large,Southwest,Private not-for-profit religious,11.0,1526.0,3.6,670.0,700.0
74,87.0,Howard University,City: Large,Mid East,Private not-for-profit independent,10.0,1498.0,3.3,620.0,592.5
75,88.0,College Of The Holy Cross,City: Midsize,New England,Private not-for-profit religious,10.0,868.0,,,
76,89.0,Brandeis University,City: Small,New England,Private not-for-profit independent,10.0,895.0,3.8,675.0,715.0
77,90.0,University Of Denver,City: Large,Rocky Mountains,Private not-for-profit independent,12.0,1464.0,3.7,640.0,630.0
78,91.0,Depauw University,Town: Distant,Great Lakes,Private not-for-profit independent,9.0,564.0,3.9,610.0,620.0
79,92.0,Rose-Hulman Institute Of Technology,City: Small,Great Lakes,Private not-for-profit independent,11.0,501.0,4.0,655.0,720.0
80,94.0,Kenyon College,Town: Distant,Great Lakes,Private not-for-profit independent,10.0,539.0,3.9,685.0,690.0
81,95.0,Bentley University,City: Small,New England,Private not-for-profit independent,11.0,1014.0,3.8,640.0,685.0
82,96.0,Connecticut College,City: Small,New England,Private not-for-profit independent,9.0,508.0,,680.0,680.0
83,96.0,Scripps College,Suburb: Large,Far West,Private not-for-profit independent,10.0,252.0,3.1,700.0,690.0
84,99.0,Stevens Institute Of Technology,Suburb: Large,Mid East,Private not-for-profit independent,11.0,1009.0,3.9,675.0,730.0
85,102.0,Union College,Town: Remote,Southeast,Private not-for-profit religious,14.0,221.0,3.3,496.5,504.5
86,102.0,Union College,City: Large,Plains,Private not-for-profit religious,9.0,155.0,3.3,550.0,505.0
87,102.0,Union College,City: Small,Mid East,Private not-for-profit independent,10.0,571.0,3.3,,
88,102.0,Union College,Town: Remote,Southeast,Private not-for-profit religious,14.0,221.0,3.3,496.5,504.5
89,102.0,Union College,City: Large,Plains,Private not-for-profit religious,9.0,155.0,3.3,550.0,505.0
90,102.0,Union College,City: Small,Mid East,Private not-for-profit independent,10.0,571.0,3.3,,
91,102.0,Bates College,City: Small,New England,Private not-for-profit independent,10.0,522.0,3.9,,
92,102.0,Union College,Town: Remote,Southeast,Private not-for-profit religious,14.0,221.0,3.3,496.5,504.5
93,102.0,Union College,City: Large,Plains,Private not-for-profit religious,9.0,155.0,3.3,550.0,505.0
94,102.0,Union College,City: Small,Mid East,Private not-for-profit independent,10.0,571.0,3.3,,
95,104.0,Brigham Young University-Provo,City: Midsize,Rocky Mountains,Private not-for-profit religious,20.0,5635.0,3.9,655.0,650.0
96,105.0,Rhode Island School Of Design,City: Midsize,New England,Private not-for-profit independent,9.0,473.0,3.6,645.0,665.0
97,106.0,Syracuse University,City: Midsize,Mid East,Private not-for-profit independent,15.0,3595.0,3.7,630.0,645.0
